0.033333 sec,[],"[57.9533462524414,441,132.182968139648,443;26,21,,22]",[],[]
0.066667 sec,[],"[59.9774971008301,446,133.19416809082,442;26,22,,20]",[],[]
0.1 sec,[],"[61.7893905639648,450,133.927719116211,440;27,23,,23]",[],[]
0.13333 sec,[],"[63.5735931396484,454,134.75749206543,439;27,23,,26]",[],[]
0.16667 sec,[],"[65.561897277832,460.806734992679,135.775192260742,442;27,24.1932650073206,,21]",[],[]
0.2 sec,[],"[67.4749374389648,468,136.893569946289,435;27,17,,28]",[],[]
0.23333 sec,[],"[69.464469909668,469,137.937423706055,436;27,19,,24]",[],[]
0.26667 sec,[],"[71.4533843994141,474.300146412884,139.162582397461,434;26,16.6998535871157,,25]",[],[]
0.3 sec,[],"[73.4247360229492,477,140.028533935547,435;26,17,,21]",[],[]
0.33333 sec,[],"[74.9448623657227,478,140.578948974609,431;26,23,,30]",[],[]
0.36667 sec,[],"[76.6593551635742,478,141.568893432617,431;27,30,,25]",[],[]
0.4 sec,[],"[78.844352722168,490,142.896057128906,429;26,17,,27]",[],[]
0.43333 sec,[],"[80.833625793457,490,144.159332275391,429;25,26,,25]",[],[]
0.46667 sec,[],"[81.9082412719727,497,144.638092041016,428;26,18,,26]",[],[]
0.5 sec,[],"[83.8645629882812,497,145.938507080078,428;26,24,,28]",[],[]
0.53333 sec,[],"[85.4733657836914,507,146.90007019043,429;26,14,,27]",[],[]
0.56667 sec,[],"[86.777946472168,507,147.505187988281,429;26,24,,24]",[],[]
0.6 sec,[],"[88.8115005493164,513,148.877716064453,428;26,18,,25]",[],[]
0.63333 sec,[],"[89.9119110107422,513,149.455078125,428;26,23,,28]",[],[]
0.66667 sec,[],"[91.7876281738281,522,150.951873779297,422;26,14,,34]",[],[]
0.7 sec,[],"[93.1056289672852,522,151.600540161133,422;26,18,,31]",[],[]
0.73333 sec,[],"[94.5532913208008,529,152.634552001953,428;26,17,,20]",[],[]
0.76667 sec,[],"[96.1642837524414,528,153.74609375,428;26,21,,20]",[],[]
0.8 sec,[],"[97.3320465087891,154.64225769043,27.3167572021484,30.1566314697266]",[],[]
0.83333 sec,[],"[98.7916107177734,155.591186523438,27.4530410766602,30.3015594482422]",[],[]
0.86667 sec,[],"[100.331329345703,156.77717590332,27.2330017089844,30.0372924804688]",[],[]
0.9 sec,[],"[101.535049438477,157.569046020508,27.8029327392578,30.6457977294922]",[],[]
0.93333 sec,[],"[103.344589233398,158.994613647461,27.0580444335938,29.8297729492188]",[],[]
0.96667 sec,[],"[104.210075378418,159.628036499023,27.9244155883789,30.804931640625]",[],[]
1 sec,[],"[105.953964233398,161.116928100586,27.2088470458984,30.0869903564453]",[],[]
1.0333 sec,[],"[107.45149230957,162.107559204102,27.2348785400391,30.1366271972656]",[],[]
1.0667 sec,[],"[109.030326843262,163.261077880859,26.9836807250977,29.9277954101562]",[],[]
1.1 sec,[],"[110.716697692871,164.654479980469,26.3313980102539,29.23291015625]",[],[]
1.1333 sec,[],"[111.585632324219,165.229263305664,27.3818969726562,30.3727111816406]",[],[]
1.1667 sec,[],"[113.454551696777,166.781326293945,26.4411544799805,29.3287963867188]",[],[]
1.2 sec,[],"[114.686630249023,167.777938842773,26.6694030761719,29.5884857177734]",[],[]
1.2333 sec,[],"[115.818176269531,168.524475097656,27.185546875,30.1392669677734]",[],[]
1.2667 sec,[],"[117.535331726074,170.031402587891,26.4741439819336,29.2923431396484]",[],[]
1.3 sec,[],"[118.361297607422,170.566970825195,27.5775756835938,30.4588470458984]",[],[]
1.3333 sec,[],"[119.880073547363,171.786819458008,27.3085861206055,30.1331634521484]",[],[]
1.3667 sec,[],"[121.381217956543,172.852935791016,27.2054977416992,30.0246887207031]",[],[]
1.4 sec,[],"[122.405654907227,173.703964233398,27.6522521972656,30.5453186035156]",[],[]
1.4333 sec,[],"[124.311676025391,175.231964111328,26.703125,29.4892425537109]",[],[]
1.4667 sec,[],"[125.512733459473,176.158721923828,26.9105606079102,29.7639007568359]",[],[]
1.5 sec,[],"[126.694290161133,176.870712280273,27.453857421875,30.3829193115234]",[],[]
1.5333 sec,[],"[128.394348144531,178.411346435547,26.75244140625,29.6521606445312]",[],[]
1.5667 sec,[],"[129.253799438477,178.990188598633,27.6573486328125,30.6109466552734]",[],[]
1.6 sec,[],"[130.333160400391,179.914306640625,28.0423889160156,31.0220947265625]",[],[]
1.6333 sec,[],"[131.842010498047,181.230743408203,27.4691619873047,30.3976593017578]",[],[]
1.6667 sec,[],"[133.368240356445,182.445373535156,27.0816650390625,29.9548645019531]",[],[]
1.7 sec,[],"[134.201049804688,182.9609375,27.9561767578125,30.9237976074219]",[],[]
1.7333 sec,[],"[135.553192138672,184.123199462891,27.726806640625,30.7145843505859]",[],[]
1.7667 sec,[],"[137.007247924805,185.353164672852,27.2560882568359,30.1466827392578]",[],[]
