0.033333 sec,[],"[215.848068237305,82.0674057006835,274.755401611328,168.167907714844;123.517272949219,409.848266601562,137,222.89665222168;304.674011230469,299.966278076172,318.510894775391,285.920288085938;115.017593383789,190,34,30;27,39,30,42;37,37,31,28;32,33,29,36]",[],[]
0.066667 sec,[],"[216.548461914062,82.8175506591797,275.411285400391,168.915451049805;123.679244995117,408.371795654297,138,222.701309204102;303.341033935547,299.914031982422,317.317718505859,285.293670654297;115.857650756836,196,34,29;28,39,29,43;36,38,31,29;33,33,30,30]",[],[]
0.1 sec,[],"[217.408386230469,83.4510345458984,277.567687988281,174.720123291016;128.838836669922,407.234313964844,138,221.879501342773;300.981750488281,299.702362060547,319.453796386719,288.756713867188;114.709083557129,196,34,30;27,30,20,43;29,37,31,28;26,22,31,24]",[],[]
0.13333 sec,[],"[217.484680175781,81.8814544677734,277.697326660156,171.340744018555;127.021820068359,405.902465820312,138,220.546981811523;297.398101806641,298.9697265625,314.852783203125,285.413665771484;113.562545776367,193,34,33;28,38,23,43;29,38,34,29;32,26,31,27]",[],[]
0.16667 sec,[],"[217.842895507812,82.9280395507812,278.608001708984,172.277359008789;127.402122497559,403.865478515625,138,222.198471069336;299.278381347656,300.950073242188,316.438812255859,287.493865966797;116.524848937988,193,34,29;27,37,21,43;27,38,30,28;31,23,30,30]",[],[]
0.2 sec,[],"[218.823745727539,83.0876159667969,279.571166992188,176.468078613281;128.030822753906,402.164611816406,133,223.133361816406;298.185485839844,301.822479248047,319.22998046875,288.139892578125;116.808082580566,197,35,32;28,31,21,43;32,38,33,29;26,24,31,26]",[],[]
0.23333 sec,[],"[219.614700317383,82.8508529663085,280.618774414062,176.015319824219;125.389404296875,400.755950927734,133,223.832092285156;298.200408935547,302.446350097656,318.128509521484,286.49169921875;117.89111328125,197,34,31;28,33,25,43;28,38,32,29;28,29,30,26]",[],[]
0.26667 sec,[],"[220.105926513672,82.357810974121,281.356018066406,177.450210571289;127.273300170898,398.997436523438,126,223.333724975586;297.021911621094,301.972198486328,318.236297607422,288.289855957031;117.445877075195,193,34,32;28,31,21,43;35,38,33,29;26,24,31,30]",[],[]
0.3 sec,[],"[220.740356445312,83.2335815429688,282.282958984375,179.130828857422;127.509124755859,397.429321289062,126,223.686462402344;296.718414306641,302.698699951172,318.851959228516,288.843688964844;118.849044799805,193,34,30;29,29,20,43;34,38,32,30;25,23,30,32]",[],[]
0.33333 sec,[],"[222.649490356445,82.7591018676758,284.553375244141,175.647506713867;126.174743652344,396.750793457031,124,223.516235351562;293.941284179688,302.645294189453,312.906494140625,286.200805664062;118.51188659668,190,33,33;27,39,25,43;36,37,35,28;34,28,30,35]",[],[]
0.36667 sec,[],"[223.81672668457,81.8420562744141,285.227081298828,178.491317749023;128.354385375977,396.008850097656,124,222.62776184082;290.749725341797,301.228973388672,312.604858398438,287.215362548828;117.543083190918,190,33,36;29,36,21,43;32,36,37,30;31,24,30,36]",[],[]
0.4 sec,[],"[224.936187744141,81.6142883300781,286.422760009766,179.993103027344;128.418518066406,394.904388427734,117,221.828353881836;288.418060302734,300.817443847656,312.253723144531,286.425201416016;117.261497497559,193,33,37;29,34,21,43;39,36,38,30;29,23,31,33]",[],[]
0.43333 sec,[],"[225.574111938477,81.5141830444335,287.149108886719,182.129150390625;128.122985839844,393.902557373047,117,220.748992919922;286.588348388672,300.152496337891,312.198425292969,285.257843017578;117.311454772949,193,33,37;29,31,21,43;36,37,38,30;26,24,31,26]",[],[]
0.46667 sec,[],"[226.855331420898,83.6360168457031,289.137023925781,185.320236206055;126.41756439209,392.976684570312,117,220.821807861328;287.377014160156,300.247863769531,313.626739501953,283.172760009766;117.481231689453,194,32,33;28,27,26,43;36,36,35,29;22,28,30,25]",[],[]
0.5 sec,[],"[226.809341430664,80.8321075439453,289.302612304688,182.742095947266;125.188507080078,390.883880615234,117,220.281524658203;285.119110107422,300.079864501953,311.031188964844,282.868713378906;116.755172729492,194,33,37;28,32,26,43;33,37,39,29;26,30,31,23]",[],[]
0.53333 sec,[],"[227.752685546875,82.1591644287109,289.786437988281,185.323776245117;127.573219299316,389.558654785156,115,220.590362548828;286.115325927734,299.782409667969,312.606323242188,286.107208251953;117.811485290527,193,33,34;28,27,21,43;32,36,36,29;22,24,30,24]",[],[]
0.56667 sec,[],"[228.998687744141,80.5417785644531,290.880920410156,186.327621459961;126.812393188477,388.751342773438,111,220.956100463867;284.420959472656,299.707489013672,312.831970214844,285.570068359375;118.074981689453,191,32,38;28,27,23,43;36,36,40,29;22,26,30,26]",[],[]
0.6 sec,[],"[229.68424987793,82.0106582641602,292.054595947266,187.42366027832;128.277236938477,387.711791992188,111,221.000045776367;285.599029541016,299.520355224609,312.549743652344,288.043518066406;118.716606140137,191,33,37;28,27,21,43;36,37,38,30;22,24,30,33]",[],[]
0.63333 sec,[],"[230.576538085938,83.8640747070312,292.10595703125,187.265228271484;127.460487365723,386.751708984375,108,219.953536987305;285.993499755859,298.204803466797,310.908081054688,286.334777832031;118.988250732422,196,33,32;29,27,22,43;37,37,34,30;22,25,30,26]",[],[]
0.66667 sec,[],"[232.426895141602,79.302375793457,294.011352539062,188.16455078125;127.318298339844,386.037414550781,104,218.940521240234;279.604034423828,296.993103027344,308.756927490234,284.654174804688;117.70565032959,194,32,42;28,27,23,43;41,36,44,29;22,26,31,28]",[],[]
0.7 sec,[],"[234.210342407227,83.5757675170898,294.888519287109,183.508117675781;128.165252685547,385.634246826172,104,217.996780395508;281.503448486328,295.123931884766,301.362030029297,284.249114990234;117.066619873047,194,32,37;30,40,24,43;33,36,38,31;33,27,30,28]",[],[]
0.73333 sec,[],"[234.846450805664,83.1298904418945,295.977813720703,188.146362304688;125.929214477539,384.695831298828,108,215.657470703125;279.262756347656,293.96044921875,302.825500488281,280.963745117188;116.037063598633,193,32,36;28,30,27,43;29,36,38,29;25,30,30,29]",[],[]
0.76667 sec,[],"[235.802734375,82.588981628418,295.962860107422,182.499923706055;129.008544921875,383.873474121094,108,213.991790771484;277.110107421875,291.903472900391,295.038421630859,282.838256835938;115.15283203125,193,32,38;29,42,21,43;27,36,39,30;36,24,31,24]",[],[]
0.8 sec,[],"[237.494552612305,85.989402770996,298.192321777344,184.30680847168;126.410751342773,383.673614501953,100,212.082244873047;278.234252929688,290.582733154297,293.922973632812,278.248474121094;114.04768371582,188,32,32;28,41,28,43;35,36,33,29;34,31,30,29]",[],[]
0.83333 sec,[],"[238.97297668457,86.226936340332,298.632843017578,188.771926879883;130.55778503418,383.261383056641,100,211.027786254883;277.789245605469,289.316345214844,296.413238525391,282.313385009766;113.638877868652,188,32,33;28,33,20,43;31,36,34,29;27,23,30,27]",[],[]
0.86667 sec,[],"[239.260498046875,84.8751983642578,298.078918457031,186.781539916992;130.592895507812,381.844268798828,96,211.051788330078;278.748352050781,289.025482177734,295.105804443359,284.459503173828;114.83863067627,188,32,33;29,36,18,43;32,36,34,30;29,21,30,29]",[],[]
0.9 sec,[],"[239.082305908203,84.6526031494141,297.928497314453,189.926513671875;129.343902587891,380.082489013672,92,210.036605834961;279.057556152344,288.283538818359,297.3193359375,284.167907714844;114.679061889648,190,33,32;29,28,19,43;36,37,33,30;23,21,31,27]",[],[]
0.93333 sec,[],"[240.698867797852,82.7754440307617,299.365325927734,190.348876953125;126.961151123047,379.514739990234,92,209.022308349609;276.979248046875,287.339538574219,295.524291992188,281.315338134766;114.821685791016,190,32,37;28,29,24,43;33,36,38,29;23,27,30,28]",[],[]
0.96667 sec,[],"[242.146926879883,83.6426467895508,300.151977539062,187.078063964844;130.649063110352,379.674407958984,93,207.408981323242;275.989196777344,285.700134277344,290.393707275391,283.521179199219;114.140182495117,190,33,37;28,37,18,42;32,36,38,29;30,21,30,28]",[],[]
