0.033333 sec,[],[],[],"[149,353,453,215;279,296,31,35;37,34,37,31]"
0.066667 sec,[],[],[],"[146,353.533333333333,455.42857177551,214.866666666667;278.866666666667,296.214285744898,32,35.8666666666667;37.4285714897959,34.7333333333333,37.6666666666667,31.6428572346939]"
0.1 sec,[],[],[],"[143,354.066666666667,457.85714355102,214.733333333333;278.733333333333,296.428571489796,33,36.7333333333333;37.8571429795919,35.4666666666667,38.3333333333333,32.2857144693878]"
0.13333 sec,[],[],[],"[140,354.6,460.285715326531,214.6;278.6,296.642857234694,34,37.6;38.2857144693878,36.2,39,32.9285717040817]"
0.16667 sec,[],[],[],"[137,355.133333333333,462.714287102041,214.466666666667;278.466666666667,296.857142979592,35,38.4666666666667;38.7142859591837,36.9333333333333,39.6666666666667,33.5714289387756]"
0.2 sec,[],[],[],"[134,355.666666666667,465.142858877551,214.333333333333;278.333333333333,297.07142872449,36,39.3333333333333;39.1428574489796,37.6666666666667,40.3333333333333,34.2142861734695]"
0.23333 sec,[],[],[],"[131,356.2,467.571430653061,214.2;278.2,297.285714469388,37,40.2;39.5714289387756,38.4,41,34.8571434081634]"
0.26667 sec,[],[],[],"[128,356.733333333334,470.000002428572,214.066666666667;278.066666666667,297.500000214286,38,41.0666666666667;40.0000004285715,39.1333333333333,41.6666666666667,35.5000006428572]"
0.3 sec,[],[],[],"[125,357.266666666667,472.428574204082,213.933333333333;277.933333333333,297.714285959184,39,41.9333333333333;40.4285719183674,39.8666666666667,42.3333333333333,36.1428578775511]"
0.33333 sec,[],[],[],"[122,357.8,474.857145979592,213.8;277.8,297.928571704082,40,42.8;40.8571434081634,40.6,43,36.785715112245]"
0.36667 sec,[],[],[],"[119,358.333333333334,477.285717755102,213.666666666667;277.666666666667,298.142857448979,41,43.6666666666667;41.2857148979593,41.3333333333333,43.6666666666666,37.4285723469389]"
0.4 sec,[],[],[],"[116,358.866666666667,479.714289530613,213.533333333333;277.533333333333,298.357143193877,42,44.5333333333333;41.7142863877552,42.0666666666667,44.3333333333333,38.0714295816328]"
0.43333 sec,[],[],[],"[113,359.4,482.142861306123,213.4;277.4,298.571428938775,43,45.4;42.1428578775511,42.8,45,38.7142868163267]"
0.46667 sec,[],[],[],"[110,359.933333333334,484.571433081633,213.266666666667;277.266666666667,298.785714683673,44,46.2666666666667;42.5714293673471,43.5333333333333,45.6666666666666,39.3571440510206]"
0.5 sec,[],[],[],"[107,360.466666666667,487,213.133333333333;277.133333333333,299,45,47.1333333333333;43,44.2666666666667,46.3333333333333,40]"
0.53333 sec,[],[],[],"[104,361,486.624999976562,213;277,298.624999976562,46,48;43.250000015625,45,47,39.8749999921875]"
0.56667 sec,[],[],[],"[103.428571469388,360.285714183673,486.249999953125,212.642857168367;276.809523782313,298.249999953125,45.5000000357143,48;43.50000003125,45.0714285663265,46.7142856734694,39.749999984375]"
0.6 sec,[],[],[],"[102.857142938775,359.571428367347,485.874999929687,212.285714336735;276.619047564626,297.874999929687,45.0000000714286,48;43.750000046875,45.1428571326531,46.4285713469388,39.6249999765625]"
0.63333 sec,[],[],[],"[102.285714408163,358.85714255102,485.49999990625,211.928571505102;276.428571346939,297.49999990625,44.5000001071429,48;44.0000000625,45.2142856989796,46.1428570204082,39.49999996875]"
0.66667 sec,[],[],[],"[101.714285877551,358.142856734694,485.124999882812,211.571428673469;276.238095129252,297.124999882812,44.0000001428571,48;44.250000078125,45.2857142653061,45.8571426938775,39.3749999609375]"
0.7 sec,[],[],[],"[101.142857346939,357.428570918367,491.496705569477,211.214285841837;276.047618911565,296.749999859375,43,48;44,45,45,39]"
0.73333 sec,[],[],[],"[100.571428816326,356.714285102041,491.12170554604,210.857143010204;275.857142693877,296.374999835937,43,48;44,45,45,39]"
0.76667 sec,[],[],[],"[100.000000285714,355.999999285714,492.99560742597,210.500000178571;275.66666647619,297.499267748078,42,48;45,45,44,38]"
0.8 sec,[],[],[],"[99.428571755102,355.285713469388,489.622071531376,210.142857346939;275.476190258503,295.624999789062,42,48;45,45,44,38]"
0.83333 sec,[],[],[],"[98.8571432244897,354.571427653061,491.495973411306,209.785714515306;275.285714040816,295.999633733414,41,48;45,45,44,38]"
0.86667 sec,[],[],[],"[98.2857146938775,353.857141836735,488.872071484501,209.428571683674;275.095237823129,294.874999742187,41,48;45,45,44,38]"
0.9 sec,[],[],[],"[97.7142861632652,353.142856020408,482.49999971875,209.071428852041;274.904761605442,294.49999971875,40.5000003928572,48;46.0000001875,45.7857142295918,43.8571424081632,38.49999990625]"
0.93333 sec,[],[],[],"[97.142857632653,352.428570204082,482.124999695312,208.714286020408;274.714285387755,294.124999695312,40.0000004285714,48;46.250000203125,45.8571427959184,43.5714280816326,38.3749998984375]"
0.96667 sec,[],[],[],"[96.5714291020407,351.714284387755,481.749999671875,208.357143188776;274.523809170068,293.749999671875,39.5000004642857,48;46.50000021875,45.9285713622449,43.285713755102,38.249999890625]"
1 sec,[],[],[],"[96,350.999998571428,481.374999648437,208;274.333332952381,293.374999648437,39,48;46.750000234375,46,42.9999994285714,38.1249998828125]"
1.0333 sec,[],[],[],"[94.4374999023437,350.285712755102,481,208.187500011719;274.142856734694,293,39.1875000117188,48;47,45.8124999882812,42.7142851020408,38]"
1.0667 sec,[],[],[],"[92.8749998046875,349.571426938775,479.60000028,208.375000023438;273.952380517007,291.866666893333,39.3750000234375,48;47,45.6249999765625,42.4285707755101,38.4666665733333]"
1.1 sec,[],[],[],"[91.3124997070312,348.857141122449,478.20000056,208.562500035156;273.761904299319,290.733333786667,39.5625000351563,48;47,45.4374999648437,42.1428564489795,38.9333331466667]"
1.1333 sec,[],[],[],"[89.749999609375,348.142855306122,476.80000084,208.750000046875;273.571428081632,289.60000068,39.750000046875,48;47,45.249999953125,41.8571421224489,39.39999972]"
1.1667 sec,[],[],[],"[88.1874995117187,347.428569489796,475.40000112,208.937500058594;273.380951863945,288.466667573333,39.9375000585938,48;47,45.0624999414062,41.5714277959183,39.8666662933334]"
1.2 sec,[],[],[],"[86.6249994140625,346.714283673469,474.0000014,209.125000070313;273.190475646258,287.333334466666,40.1250000703125,48;47,44.8749999296875,41.2857134693877,40.3333328666667]"
1.2333 sec,[],[],[],"[85.0624993164062,346,472.60000168,209.312500082031;273,286.20000136,40.3125000820313,48;47,44.6874999179687,41,40.7999994400001]"
1.2667 sec,[],[],[],"[83.49999921875,344.928571505102,471.20000196,209.50000009375;272.500000035714,285.066668253333,40.50000009375,48.1428571326531;47,44.49999990625,40.7142857346939,41.2666660133334]"
1.3 sec,[],[],[],"[81.9374991210937,343.857143010204,469.80000224,209.687500105469;272.000000071429,283.933335146666,40.6875001054688,48.2857142653061;47,44.3124998945312,40.4285714693877,41.7333325866668]"
1.3333 sec,[],[],[],"[80.3749990234375,342.785714515306,468.40000252,209.875000117188;271.500000107143,282.800002039999,40.8750001171875,48.4285713979592;47,44.1249998828125,40.1428572040816,42.1999991600001]"
1.3667 sec,[],[],[],"[78.8124989257812,341.714286020408,467.0000028,210.062500128906;271.000000142857,281.666668933333,41.0625001289063,48.5714285306123;47,43.9374998710937,39.8571429387755,42.6666657333335]"
1.4 sec,[],[],[],"[77.2499988281249,340.64285752551,465.60000308,210.250000140625;270.500000178571,280.533335826666,41.250000140625,48.7142856632653;47,43.749999859375,39.5714286734694,43.1333323066668]"
1.4333 sec,[],[],[],"[75.6874987304687,339.571429030612,464.20000336,210.437500152344;270.000000214286,279.400002719999,41.4375001523438,48.8571427959184;47,43.5624998476562,39.2857144081632,43.5999988800002]"
1.4667 sec,[],[],[],"[74.1249986328124,338.500000535714,462.800003639999,210.625000164063;269.50000025,278.266669613333,41.6250001640626,48.9999999285714;47,43.3749998359374,39.0000001428571,44.0666654533335]"
1.5 sec,[],[],[],"[72.5624985351562,337.428572040816,461.400003919999,210.812500175781;269.000000285714,277.133336506666,41.8125001757813,49.1428570612245;47,43.1874998242187,38.714285877551,44.5333320266669]"
1.5333 sec,[],[],[],"[71,336.357143545918,460,211;268.500000321428,276,42,49.2857141938776;47,43,38.4285716122449,45]"
1.5667 sec,[],[],[],"[69.9565216483932,335.28571505102,459.055555555556,211.260869587902;268.000000357143,276,42.1304347939509,49.4285713265306;47.4444444444444,42.9565217353497,38.1428573469387,44.7777777777778]"
1.6 sec,[],[],[],"[68.9130432967864,334.214286556122,458.111111111111,211.521739175803;267.500000392857,276,42.2608695879017,49.5714284591837;47.8888888888889,42.9130434706994,37.8571430816326,44.5555555555556]"
1.6333 sec,[],[],[],"[67.8695649451796,333.142858061224,457.166666666667,211.782608763705;267.000000428571,276,42.3913043818526,49.7142855918368;48.3333333333333,42.8695652060492,37.5714288163265,44.3333333333333]"
1.6667 sec,[],[],[],"[66.8260865935728,332.071429566326,456.222222222222,212.043478351607;266.500000464285,276,42.5217391758034,49.8571427244898;48.7777777777778,42.8260869413989,37.2857145510204,44.1111111111111]"
1.7 sec,[],[],[],"[65.782608241966,331,455.277777777778,212.304347939509;266,276,42.6521739697543,50;49.2222222222222,42.7826086767486,37,43.8888888888889]"
1.7333 sec,[],[],[],"[64.7391298903592,330.499999977273,454.333333333333,212.56521752741;266.045454547521,276,42.7826087637051,49.590909072314;49.6666666666667,42.7391304120983,36.9090909049587,43.6666666666667]"
1.7667 sec,[],[],[],"[63.6956515387523,329.999999954546,453.388888888889,212.826087115312;266.090909095041,276,42.913043557656,49.1818181446281;50.1111111111111,42.695652147448,36.8181818099173,43.4444444444444]"
1.8 sec,[],[],[],"[62.6521731871455,329.499999931818,452.444444444444,213.086956703214;266.136363642562,276,43.0434783516068,48.7727272169421;50.5555555555555,42.6521738827977,36.727272714876,43.2222222222222]"
1.8333 sec,[],[],[],"[61.6086948355387,328.999999909091,451.5,213.347826291115;266.181818190083,276,43.1739131455577,48.3636362892562;51,42.6086956181475,36.6363636198347,43]"
1.8667 sec,[],[],[],"[60.5652164839319,328.499999886364,450.555555555555,213.608695879017;266.227272737603,276,43.3043479395085,47.9545453615702;51.4444444444444,42.5652173534972,36.5454545247934,42.7777777777778]"
1.9 sec,[],[],[],"[59.5217381323251,327.999999863637,449.611111111111,213.869565466919;266.272727285124,276,43.4347827334594,47.5454544338843;51.8888888888889,42.5217390888469,36.454545429752,42.5555555555556]"
1.9333 sec,[],[],[],"[58.4782597807183,327.499999840909,448.666666666667,214.130435054821;266.318181832645,276,43.5652175274103,47.1363635061983;52.3333333333333,42.4782608241966,36.3636363347107,42.3333333333333]"
1.9667 sec,[],[],[],"[57.4347814291114,326.999999818182,447.722222222222,214.391304642722;266.363636380165,276,43.6956523213611,46.7272725785124;52.7777777777778,42.4347825595463,36.2727272396694,42.1111111111111]"
2 sec,[],[],[],"[56.3913030775046,326.499999795455,446.777777777778,214.652174230624;266.409090927686,276,43.826087115312,46.3181816508264;53.2222222222222,42.391304294896,36.1818181446281,41.8888888888889]"
2.0333 sec,[],[],[],"[55.3478247258978,325.999999772728,445.833333333333,214.913043818526;266.454545475206,276,43.9565219092628,45.9090907231405;53.6666666666666,42.3478260302458,36.0909090495867,41.6666666666667]"
2.0667 sec,[],[],[],"[54.304346374291,325.49999975,444.888888888889,215.173913406427;266.500000022727,276,44.0869567032137,45.4999997954545;54.1111111111111,42.3043477655955,35.9999999545454,41.4444444444445]"
2.1 sec,[],[],[],"[53.2608680226842,324.999999727273,443.944444444444,215.434782994329;266.545454570248,276,44.2173914971645,45.0909088677686;54.5555555555555,42.2608695009452,35.9090908595041,41.2222222222222]"
2.1333 sec,[],[],[],"[52.2173896710774,324.499999704546,443,215.695652582231;266.590909117768,276,44.3478262911154,44.6818179400826;55,42.2173912362949,35.8181817644628,41]"
